productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
663189,Zacian (Prerelease),Zacian Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/663189_200w.jpg,3,24451,https://cpt.tcgcsv.com/Phk7,2025-11-11T16:47:56.213,1,015,Promo,Psychic,130,Basic,,"[PC] Limit Break (50+)<br> If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage.",Mx2,2,6.53,9.62,29.99,7.73,,Holofoil,,
663190,Zacian (Prerelease) [Staff],Zacian Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/663190_200w.jpg,3,24451,https://cpt.tcgcsv.com/Qhk7,2025-11-11T16:48:45.223,0,015,Promo,Psychic,130,Basic,,"[PC] Limit Break (50+)<br> If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage.",Mx2,2,18.5,25.35,100.0,18.94,,Holofoil,,
663191,Flygon (Prerelease),Flygon Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/663191_200w.jpg,3,24451,https://cpt.tcgcsv.com/Rhk7,2025-11-11T16:51:17.48,1,016,Promo,Fighting,150,Stage 2,"<strong>Ability: Sandy Flapping</strong> Once during your turn, when you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability. You may also use this Ability if this Pokemon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokemon. Discard the top 2 cards of your opponent's deck.",[FF] Cutting Wind (130),Gx2,1,7.15,12.1,29.99,9.55,,Holofoil,,
663192,Flygon (Prerelease) [Staff],Flygon Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/663192_200w.jpg,3,24451,https://cpt.tcgcsv.com/Shk7,2025-11-11T16:52:26.52,0,016,Promo,Fighting,150,Stage 2,"<strong>Ability: Sandy Flapping</strong> Once during your turn, when you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability. You may also use this Ability if this Pokemon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokemon. Discard the top 2 cards of your opponent's deck.",[FF] Cutting Wind (130),Gx2,1,34.78,40.5,100.0,34.7,,Holofoil,,
663193,Toxtricity (Prerelease),Toxtricity Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/663193_200w.jpg,3,24451,https://cpt.tcgcsv.com/Thk7,2025-11-11T16:55:01.347,1,017,Promo,Darkness,140,Stage 1,"<strong>Ability: Sinister Surge</strong> Once during your turn, you may use this Ability. Search your deck for a Basic Darkness Energy card and attach it to 1 of your Benched Darkness Pokemon. Then, shuffle your deck. If you attached Energy to a Pokemon in this way, place 2 damage counters on that Pokemon.",[DDC] Gentle Slap (100),Fx2,2,9.25,11.75,29.99,10.36,,Holofoil,,
663194,Toxtricity (Prerelease) [Staff],Toxtricity Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/663194_200w.jpg,3,24451,https://cpt.tcgcsv.com/Vhk7,2025-11-11T16:56:06.44,0,017,Promo,Darkness,140,Stage 1,"<strong>Ability: Sinister Surge</strong> Once during your turn, you may use this Ability. Search your deck for a Basic Darkness Energy card and attach it to 1 of your Benched Darkness Pokemon. Then, shuffle your deck. If you attached Energy to a Pokemon in this way, place 2 damage counters on that Pokemon.",[DDC] Gentle Slap (100),Fx2,2,36.46,45.99,100.0,39.65,,Holofoil,,
664010,Oricorio ex - 024,Oricorio ex 024,https://tcgplayer-cdn.tcgplayer.com/product/664010_200w.jpg,3,24451,https://cpt.tcgcsv.com/dDk7,2025-12-24T14:06:58.873,1,024,Promo,Fire,190,Basic,"<strong>Ability: Excited Turbo</strong> As often as you like during your turn, if you have any Fire Mega Evolution Pokemon ex in play, you may use this Ability. Attach a Basic Fire Energy card from your hand to 1 of your Benched Fire Pokemon.",[RRC] Fire Wing (110),Wx2,1,10.99,17.43,99.0,13.82,,Holofoil,,
664051,Cottonee (Cosmos Holo),Cottonee Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/664051_200w.jpg,3,24451,https://cpt.tcgcsv.com/2Fk7,2025-11-17T20:31:30.57,1,018,Promo,Psychic,60,Basic,,"[1] Collect<br>
Draw a card.",Mx2,1,0.1,0.29,5.0,0.19,,Holofoil,,
664054,Whimsicott (Cosmos Holo),Whimsicott Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/664054_200w.jpg,3,24451,https://cpt.tcgcsv.com/6Fk7,2025-11-20T12:18:05.433,1,019,Promo,Psychic,90,Stage 1,,"[1] Healing Fluff <br>
Heal all damage from one of your Benched Pokémon.",Mx2,1,0.05,0.31,3.99,0.17,,Holofoil,"[P] U-turn (50) <br>
Switch this Pokémon with 1 of your Benched Pokémon.",
664055,Sneasel (Cosmos Holo),Sneasel Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/664055_200w.jpg,3,24451,https://cpt.tcgcsv.com/7Fk7,2025-11-18T13:07:33.4,1,020,Promo,Darkness,70,Basic,,[D] Dig Claws (10),Gx2,1,0.09,0.34,1.99,0.24,,Holofoil,[DD] Scratch (30,
664063,Weavile (Cosmos Holo),Weavile Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/664063_200w.jpg,3,24451,https://cpt.tcgcsv.com/hFk7,2025-11-18T14:16:23.63,1,021,Holo Rare,Darkness,90,Stage 1,,"[DD] Retaliatory Claw (20+) <br>
If this Pokémon's remaining HP is 50 or less, this attack does 170 more damage.",Gx2,1,0.1,0.32,2.02,0.25,,Holofoil,[DD] Cut (60),
665053,Charcadet - 022 (Pokemon Center Exclusive),Charcadet 022 Pokemon Center Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/665053_200w.jpg,3,24451,https://cpt.tcgcsv.com/52l7,2025-12-03T17:26:00.14,1,022,Promo,Fire,70,Basic,,"[R] Gather Strength<br> Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Wx2,2,33.0,39.84,99.99,34.35,,Holofoil,[R] Chop (10),
666538,Charcadet - 022,Charcadet 022,https://tcgplayer-cdn.tcgplayer.com/product/666538_200w.jpg,3,24451,https://cpt.tcgcsv.com/NDl7,2026-01-02T13:03:22.95,1,022,Promo,Fire,70,Basic,,"[R] Gather Strength<br> Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Wx2,2,1.48,2.05,15.0,1.69,,Holofoil,[R] Chop (10),
666905,Mega Venusaur ex - 013,Mega Venusaur ex 013,https://tcgplayer-cdn.tcgplayer.com/product/666905_200w.jpg,3,24451,https://cpt.tcgcsv.com/7Nl7,2025-12-09T20:45:44.363,1,013,Promo,Grass,380,Stage 2,"<strong>Ability: Solar Transfer</strong> As often as you like during your turn, you may use this Ability. Move a Basic Grass Energy from 1 of your Pokmon to another of your Pokmon.",[GGGG] Jungle Dump (240)<br> Heal 30 damage from this Pokemon.,Rx2,4,0.5,1.15,9.99,1.01,,Holofoil,,
668509,Mega Kangaskhan ex - 025,Mega Kangaskhan ex 025,https://tcgplayer-cdn.tcgplayer.com/product/668509_200w.jpg,3,24451,https://cpt.tcgcsv.com/cqm7,2025-12-10T17:25:43.103,1,025,Promo,Colorless,300,Basic,"<strong>Ability: Run Errand</strong> Once during your turn, if this Pokmon is in the Active Spot, you may use this Ability. Draw 2 cards. You can't use more than 1 Run Errand Ability each turn.",[CCC] Rapid-Fire Combo (200+)<br> Flip a coin until you get tails. This attack does 50 more damage for each heads.,Fx2,3,0.01,0.85,9.99,0.54,,Holofoil,,
